stadium_name,host_city,host_country,latitude,longitude,elevation_m,timezone,stadium_type_basic,stadium_capacity,roof_available_boolean,roof_type,climate_control_available,weather_protection_level,climate_control_note_de,pitch_surface_note_de,venue_weather_note_de,capacity_source_note,coordinate_precision,coordinate_accuracy_m,google_place_id,maps_url,coordinate_verified_at,data_source_name,data_quality_score
Toronto Stadium,Toronto,Canada,43.6332,-79.4186,76,America/Toronto,outdoor,45000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit erweitertem Sitzplatz-Setup,Offenes Stadion am Lake Ontario mit direkter Wirkung von Temperatur Wind und Niederschlag,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=43.63320%2C-79.41860,,FIFA host venue list plus public geodata,82
BC Place Vancouver,Vancouver,Canada,49.2768,-123.1119,13,America/Vancouver,retractable_roof,54000,true,retractable_roof,true,3,Schließbares Dach und kontrollierbarere Innenbedingungen können Regen Wind und Temperaturspitzen dämpfen,Turnierkonfiguration mit Naturrasen-Setup erwartet,Bei geschlossenem Dach deutlich stabilere Bedingungen als an offenen Spielorten,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=49.27680%2C-123.11190,,FIFA host venue list plus public geodata,84
Mexico City Stadium,Mexico City,Mexico,19.3029,-99.1505,2240,America/Mexico_City,outdoor,83000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offenes Hochlagenstadion mit starkem Höhenkontext und direkter Wettereinwirkung,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=19.30290%2C-99.15050,,FIFA host venue list plus public geodata,86
Guadalajara Stadium,Guadalajara,Mexico,20.6818,-103.4629,1566,America/Mexico_City,outdoor,48000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offener Spielort mit Höhenlage und direkter Wirkung von Hitze Wind und Niederschlag,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=20.68180%2C-103.46290,,FIFA host venue list plus public geodata,82
Monterrey Stadium,Monterrey,Mexico,25.6682,-100.2446,500,America/Monterrey,outdoor,53500,false,partial_canopy,false,1,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Teilweise geschützte Tribünen aber offene Spielbedingungen auf dem Feld,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=25.66820%2C-100.24460,,FIFA host venue list plus public geodata,82
Atlanta Stadium,Atlanta,United States,33.7556,-84.4008,320,America/New_York,retractable_roof,75000,true,retractable_roof,true,3,Schließbares Dach und Klimatisierung können Außenwetter deutlich neutralisieren,Turnierkonfiguration mit Naturrasen-Setup erwartet,Bei geschlossenem Dach eher kontrollierte Bedingungen statt voller Outdoor-Belastung,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=33.75560%2C-84.40080,,FIFA host venue list plus public geodata,84
Boston Stadium,Foxborough,United States,42.0909,-71.2643,88,America/New_York,outdoor,65000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offenes Stadion mit direkter Wirkung von Temperatur Wind Luftfeuchtigkeit und Niederschlag,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=42.09090%2C-71.26430,,FIFA host venue list plus public geodata,82
Dallas Stadium,Arlington,United States,32.7473,-97.0945,170,America/Chicago,retractable_roof,94000,true,retractable_roof,true,3,Schließbares Dach und Klimatisierung können Hitze Wind und Regen stark dämpfen,Turnierkonfiguration mit Naturrasen-Setup erwartet,Bei geschlossenem Dach einer der am stärksten kontrollierbaren Spielorte,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=32.74730%2C-97.09450,,FIFA host venue list plus public geodata,86
Houston Stadium,Houston,United States,29.6847,-95.4107,15,America/Chicago,retractable_roof,72000,true,retractable_roof,true,3,Schließbares Dach und Klimatisierung können Hitze Luftfeuchtigkeit und Regen deutlich abfedern,Turnierkonfiguration mit Naturrasen-Setup erwartet,Bei geschlossenem Dach werden schwüle Außenbedingungen im Modell weniger stark gewichtet,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=29.68470%2C-95.41070,,FIFA host venue list plus public geodata,86
Kansas City Stadium,Kansas City,United States,39.0490,-94.4839,260,America/Chicago,outdoor,73000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Großes offenes Stadion mit direkter Wettereinwirkung und möglichem Windkontext,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=39.04900%2C-94.48390,,FIFA host venue list plus public geodata,82
Los Angeles Stadium,Inglewood,United States,33.9535,-118.3392,38,America/Los_Angeles,outdoor,70000,true,fixed_translucent_canopy,false,2,Dachkonstruktion bietet Wetterschutz aber keine klassische Innenraum-Klimatisierung für das Spielfeld,Turnierkonfiguration mit Naturrasen-Setup erwartet,Überdachter aber nicht vollständig klimatisierter Spielort mit gedämpftem Regenkontext,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=33.95350%2C-118.33920,,FIFA host venue list plus public geodata,84
Miami Stadium,Miami Gardens,United States,25.9580,-80.2389,2,America/New_York,outdoor,65000,false,canopy_over_stands,false,1,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Canopy schützt Teile der Tribünen aber das Feld bleibt stark von Hitze und Luftfeuchtigkeit geprägt,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=25.95800%2C-80.23890,,FIFA host venue list plus public geodata,82
New York New Jersey Stadium,East Rutherford,United States,40.8135,-74.0745,2,America/New_York,outdoor,82500,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offenes Finalstadion mit direkter Wirkung von Temperatur Wind und Niederschlag,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=40.81350%2C-74.07450,,FIFA host venue list plus public geodata,84
Philadelphia Stadium,Philadelphia,United States,39.9008,-75.1675,5,America/New_York,outdoor,69000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offenes Stadion mit direkter Wirkung von Sommerhitze Luftfeuchtigkeit Wind und Niederschlag,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=39.90080%2C-75.16750,,FIFA host venue list plus public geodata,82
San Francisco Bay Area Stadium,Santa Clara,United States,37.4033,-121.9694,12,America/Los_Angeles,outdoor,71000,false,open_air,false,0,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Offener Spielort mit kalifornischem Mikroklima und direkter Wirkung von Wind und Temperatur,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=37.40330%2C-121.96940,,FIFA host venue list plus public geodata,82
Seattle Stadium,Seattle,United States,47.5952,-122.3316,6,America/Los_Angeles,outdoor,69000,false,partial_canopy,false,1,Keine Stadionklimatisierung für das Spielfeld bekannt,Turnierkonfiguration mit Naturrasen-Setup erwartet,Teilüberdachte Tribünen aber offenes Feld mit relevantem Regen und Windkontext,FIFA-nahe Turnierkapazität aus öffentlichen Venue-Listen,venue_coordinate,250,,https://www.google.com/maps/search/?api=1&query=47.59520%2C-122.33160,,FIFA host venue list plus public geodata,82
